place_name,category_name,address_name,place_url,분류
유니클로 광화문D타워점,"가정,생활 > 패션 > 의류판매 > 유니클로",서울 종로구 청진동 246,http://place.map.kakao.com/27497037,쇼핑
탑텐 대학로점,"가정,생활 > 패션 > 의류판매 > 탑텐",서울 종로구 동숭동 1-28,http://place.map.kakao.com/23611679,쇼핑
아디다스 북촌헤리티지스토어,"가정,생활 > 패션 > 의류판매 > 스포츠의류 > 아디다스",서울 종로구 소격동 142-2,http://place.map.kakao.com/1371457548,쇼핑
워크업 서울평창점,"가정,생활 > 패션 > 의류판매 > 워크업",서울 종로구 부암동 129-8,http://place.map.kakao.com/99866850,쇼핑
뉴발란스 북촌직영점,"가정,생활 > 패션 > 의류판매 > 스포츠의류",서울 종로구 화동 104,http://place.map.kakao.com/915772160,쇼핑
아크테릭스 종로점,"가정,생활 > 패션 > 의류판매 > 스포츠의류",서울 종로구 종로5가 214-10,http://place.map.kakao.com/503402236,쇼핑
아티플로 맞춤정장예복 종로본점,"가정,생활 > 패션 > 의류판매 > 남성의류,양복",서울 종로구 종로3가 122,http://place.map.kakao.com/1652083962,쇼핑
운선제한복 종로점,"가정,생활 > 패션 > 의류판매 > 한복",서울 종로구 종로4가 5,http://place.map.kakao.com/11794354,쇼핑
투티에,"가정,생활 > 패션 > 의류판매 > 가죽,모피",서울 종로구 소격동 66,http://place.map.kakao.com/718990404,쇼핑
블랙야크 서울종로직영점,"가정,생활 > 패션 > 의류판매 > 스포츠의류 > 블랙야크",서울 종로구 종로5가 321-25,http://place.map.kakao.com/11558428,쇼핑
BYC 신설점,"가정,생활 > 패션 > 의류판매 > 속옷,언더웨어 > BYC",서울 종로구 숭인동 1433,http://place.map.kakao.com/12888452,쇼핑
라이즈앤빌로우 서촌,"가정,생활 > 패션 > 의류판매",서울 종로구 통의동 18,http://place.map.kakao.com/189895667,쇼핑
ETC서울 서촌,"가정,생활 > 패션 > 의류판매",서울 종로구 필운동 152-3,http://place.map.kakao.com/666784557,쇼핑
프로스펙스 종로팩토리아울렛,"가정,생활 > 패션 > 의류판매 > 스포츠의류 > 프로스펙스",서울 종로구 창신동 352-3,http://place.map.kakao.com/1515343661,쇼핑
알라모다 종로점,"가정,생활 > 패션 > 의류판매 > 남성의류,양복",서울 종로구 종로3가 10,http://place.map.kakao.com/23282583,쇼핑
그랑핸드 서촌,"가정,생활 > 미용 > 화장품 > 향수",서울 종로구 통의동 35-106,http://place.map.kakao.com/1738151085,쇼핑
설화수의집 북촌,"가정,생활 > 미용 > 화장품",서울 종로구 가회동 74,http://place.map.kakao.com/967518414,쇼핑
그랑핸드 광화문,"가정,생활 > 미용 > 화장품 > 향수",서울 종로구 청진동 70,http://place.map.kakao.com/766425991,쇼핑
탬버린즈 삼청점,"가정,생활 > 미용 > 화장품 > 향수",서울 종로구 화동 138-14,http://place.map.kakao.com/776604557,쇼핑
이니스프리 대학로점,"가정,생활 > 미용 > 화장품 > 이니스프리",서울 종로구 명륜4가 185,http://place.map.kakao.com/8044353,쇼핑
퍼퓸그라피 셀렉트샵,"가정,생활 > 미용 > 화장품 > 향수",서울 종로구 동숭동 1-65,http://place.map.kakao.com/1660415171,쇼핑
그랑핸드 북촌,"가정,생활 > 미용 > 화장품 > 향수",서울 종로구 가회동 40-3,http://place.map.kakao.com/460070959,쇼핑
한국화장품제조 본사,"가정,생활 > 미용 > 화장품",서울 종로구 서린동 88,http://place.map.kakao.com/182397304,쇼핑
다니엘트루스 퍼퓸하우스 인 삼청,"가정,생활 > 미용 > 화장품 > 향수",서울 종로구 화동 44-1,http://place.map.kakao.com/1164738302,쇼핑
헤트라스 안국,"가정,생활 > 미용 > 화장품 > 향수",서울 종로구 계동 140-42,http://place.map.kakao.com/1624926947,쇼핑
와이레스,"가정,생활 > 미용 > 화장품",서울 종로구 가회동 26-5,http://place.map.kakao.com/1215974688,쇼핑
에뛰드하우스 동화면세점,"가정,생활 > 미용 > 화장품 > 에뛰드하우스",서울 종로구 세종로 211,http://place.map.kakao.com/128796575,쇼핑
논픽션 삼청,"가정,생활 > 미용 > 화장품",서울 종로구 소격동 76,http://place.map.kakao.com/2049005968,쇼핑
그랑핸드 소격,"가정,생활 > 미용 > 화장품 > 향수",서울 종로구 소격동 154,http://place.map.kakao.com/27426484,쇼핑
